Merchant Name,Category Name,c. Total Coupons,% Rate,Flat Rate
Minimal Bottle,Household,11,8.0,0.0
Simon Miller,Clothing & Apparel,11,10.0,0.0
Hotel Collection,Home Decor,11,17.0,25.0
Shu Uemura,Beauty & Cosmetics,11,15.0,0.0
Nortiv8,Shoes,11,10.0,0.0
OBSBOT,Camera & Optics,11,10.0,0.0
TruSkin,Health & Beauty,11,18.0,0.0
Norton,Software,11,140.0,30.0
COS,Clothing & Apparel,11,16.0,0.0
PartsVu,Motor Vehicle Parts,11,5.0,0.0
FYTOO,Contacts & Glasses,11,8.0,0.0
INIU,Electronics Accessories,11,12.0,0.0
Gundry MD,Vitamins & Supplements,11,8.0,0.0
FamilyTreeDNA,Consumer Services,11,4.0,0.0
Gallery Collection,B2B,10,4.0,0.0
Movies Unlimited,Movies,10,14.0,0.0
Lillian Vernon,Gifts,10,8.0,0.0
Gourmet Gift Baskets,Gifts,10,15.0,0.0
Gifts For You Now,Photo Gifts,10,8.0,0.0
Avery,B2B,10,10.0,0.0
Farfetch,Clothing & Apparel,10,4.0,0.0
Sennheiser,Audio,10,10.0,0.0
CPO Outlets,Tools,10,4.0,0.0
Simple Projects,Bed & Bath,10,10.0,0.0
Newegg,Computers & Accessories,10,3.0,0.0
My Evergreen,Household,10,7.0,0.0
Lumens,Household,10,6.0,0.0
SeatGeek,Event Tickets,10,1.0,0.0
Shiseido,Health & Beauty,10,10.0,0.0
UGG,Shoes,10,10.0,0.0
Vimeo,Software,10,10.0,0.0
Vitamin Shoppe,Vitamins & Supplements,10,1.0,0.0
J.Crew Factory,Clothing & Apparel,10,3.0,0.0
Food Huggers,Kitchen & Dining,10,15.0,0.0
Soko Glam,Health & Beauty,10,4.0,0.0
Vita Living,Vitamins & Supplements,10,12.0,0.0
Preply,Online Courses,10,79.2,17.5
Zoro,Tools,10,6.0,0.0
YANIBEST,Hair Accessories,10,15.0,0.0
Els Pet,Animals & Pet Supplies,10,8.0,0.0
FitVille,Shoes,10,10.0,0.0
la Vie en Rose,Clothing & Apparel,10,7.0,0.0
Meta,Consumer Electronics,10,6.0,0.0
Comfelie,Clothing & Apparel,10,15.0,0.0
Carex Health Brands,Health & Beauty,10,10.0,0.0
Fanatical,Video Games,10,6.0,0.0
Best Bully Sticks,Animals & Pet Supplies,10,6.0,0.0
AlloyWorks Store,Vehicles & Parts,10,6.0,0.0
Yay Images,Software,10,40.0,0.0
Shapellx,Underwear & Socks,10,5.0,0.0
DefenAge Skincare,Health & Beauty,10,1.0,0.0
TTLife Oxygen Concentrator,Health Care,10,12.0,0.0
Cefaly,Health Care,10,4.0,90.0
Brightchamps,Consumer Services,10,20.0,0.0
Priceline,Travel,10,6.0,4.0
The Gift Basket Store,Gift Baskets,10,9.0,0.0
Forsake,Clothing & Apparel,10,10.0,0.0
Deluxe,B2B,10,7.0,0.0
Handball-Store,Sporting Goods,10,5.0,0.0
Etickets,Event Tickets,10,2.0,0.0
Consumer Cellular,Telephony,10,0.0,100.0
Shelia,Clothing & Apparel,10,8.0,0.0
Crunchyroll,Collectibles,10,8.0,0.0
Mullybox,Box Subscriptions,10,10.0,20.0
Gardyn,Lawn & Garden,10,8.0,0.0
Total Wine,Wine,10,2.0,0.0
iEDM,Clothing & Apparel,10,10.0,0.0
BiggerBooks.com,Books & Magazines,9,7.0,0.0
HDIS,Health & Beauty,9,10.0,0.0
Fanatics,Collectibles,9,8.0,0.0
Clothing Shop Online,Clothing & Apparel,9,5.0,0.0
Calvin Klein,Clothing & Apparel,9,16.0,0.0
Botanic Choice,Health & Beauty,9,15.0,0.0
Secret Element,Consumer Services,9,30.0,0.0
Ace Hardware,Tools,9,4.0,0.0
Reolink,Consumer Electronics,9,4.0,0.0
PHYMAT,Consumer Services,9,10.0,0.0
Sparkle in Pink,Baby & Kids,9,10.0,0.0
Bellame,Beauty & Cosmetics,9,6.4,0.0
Michael Kors,Clothing & Apparel,9,5.0,0.0
L-email Wig,Costumes,9,8.0,0.0
Steve Madden,Clothing & Apparel,9,7.0,0.0
Bouqs,Gifts,9,4.0,0.0
Wedgwood,Household,9,6.0,0.0
Woot!,Department Stores,9,10.0,0.0
123Print,Supplies,9,2.0,0.0
DoorDash,Food & Gourmet,9,7.2,32.0
ReserveBar,Alcohol / Beer,9,3.2,0.0
Reebok,Clothing & Apparel,9,10.0,0.0
YogaDownload,Exercise & Fitness,9,12.0,0.0
BodyJewelry.com,Jewelry,9,15.0,0.0
Kerastase,Health & Beauty,9,6.4,2.0
BIJOUX indiscrets,Erotic,9,20.0,0.0
Paynes Gray Inc,Household,9,10.0,0.0
JLo Beauty,Health & Beauty,9,8.0,0.0
Silversal,Clothing & Apparel,9,15.0,0.0
Air India,Air,9,0.75,350.0
Lee Jeans,Clothing & Apparel,9,5.0,0.0
Ashimary Hair,Hair Accessories,9,12.0,0.0
MAGIX & VEGAS Creative Software,Software,9,40.0,4.0
MorningSave,Department Stores,9,7.0,0.0
Hungryroot,Food & Gourmet,9,0.0,17.0
Cariuma,Shoes,9,7.0,0.0
Fresh Meal Plan,Box Subscriptions,9,10.0,0.0
Balance of Nature,Vitamins & Supplements,9,17.0,0.0
Sixity Auto,Vehicles & Parts,9,7.5,0.0
Visible,Telephony,9,0.0,58.0
Dr. Martens,Shoes,9,6.0,0.0
Kobo,Books & Magazines,9,10.0,1.0
The GUU Shop,Clothing & Apparel,9,10.0,0.0
SmallRig Technology,Camera & Optics,9,10.0,0.0
OLIVE YOUNG,Health & Beauty,9,8.0,0.0
Lab Series,Health & Beauty,9,8.0,0.0
James Michelle,Jewelry,9,10.0,0.0
Dr.Prepare,Camping & Hiking,9,12.0,0.0
STITCH Golf,Golf,9,6.0,0.0
Atomi Inc,Motor Vehicle Electronics,9,8.0,0.0
GlocalMe,Networking Products,9,18.0,0.0
Upko,Erotic,9,10.0,0.0
Ruko,Drones,9,8.0,0.0
Empava Appliances,Bed & Bath,9,8.0,0.0
Inno Cn,Consumer Electronics,9,7.0,0.0
