Merchant Name,Category Name,Country code,c. Total Coupons,% Rate,Flat Rate
MAGIX & VEGAS Creative Software,Software,US,9,40.00%,4
MorningSave,Department Stores,US,9,7.00%,
Hungryroot,Food & Gourmet,US,9,,17
Cariuma,Shoes,US,9,7.00%,
Fresh Meal Plan,Box Subscriptions,US,9,10.00%,
Balance of Nature,Vitamins & Supplements,US,9,17.00%,
OLIVE YOUNG,Health & Beauty,US,9,8.00%,
Sixity Auto,Vehicles & Parts,US,9,7.50%,
Visible,Telephony,US,9,,58
Dr. Martens,Shoes,US,9,6.00%,
Kobo,Books & Magazines,US,9,10.00%,1
The GUU Shop,Clothing & Apparel,US,9,10.00%,
SmallRig Technology,Camera & Optics,US,9,10.00%,
Lee Jeans,Clothing & Apparel,US,9,5.00%,
Lab Series,Health & Beauty,US,9,8.00%,
STITCH Golf,Golf,US,9,6.00%,
HQST,Green Living (Eco-Friendly),US,9,7.00%,
Aiper,Smart Home Devices,US,9,15.00%,
Gasland Chef,Household,US,9,8.00%,
Inno Cn,Consumer Electronics,US,9,7.00%,
Empava Appliances,Bed & Bath,US,9,8.00%,
James Michelle,Jewelry,US,9,10.00%,
Upko,Erotic,US,9,10.00%,
Ruko,Drones,US,9,8.00%,
GlocalMe,Networking Products,US,9,18.00%,
Atomi Inc,Motor Vehicle Electronics,US,9,8.00%,
Dr.Prepare,Camping & Hiking,US,9,12.00%,
Ashimary Hair,Hair Accessories,US,9,12.00%,
Air India,Air,US,9,0.75%,350
Paynes Gray Inc,Household,US,9,10.00%,
JLo Beauty,Health & Beauty,US,9,8.00%,
Bellame,Beauty & Cosmetics,US,9,6.40%,
Sparkle in Pink,Baby & Kids,US,9,10.00%,
Silversal,Clothing & Apparel,US,9,15.00%,
PHYMAT,Consumer Services,US,9,10.00%,
Secret Element,Consumer Services,US,9,30.00%,
Ace Hardware,Tools,US,9,4.00%,
BiggerBooks.com,Books & Magazines,US,9,7.00%,
Botanic Choice,Health & Beauty,US,9,15.00%,
Calvin Klein,Clothing & Apparel,US,9,16.00%,
Clothing Shop Online,Clothing & Apparel,US,9,5.00%,
Fanatics,Collectibles,US,9,8.00%,
HDIS,Health & Beauty,US,9,10.00%,
Michael Kors,Clothing & Apparel,US,9,5.00%,0
Reolink,Consumer Electronics,US,9,4.00%,
Steve Madden,Clothing & Apparel,US,9,7.00%,
Bouqs,Gifts,US,9,4.00%,
Wedgwood,Household,US,9,6.00%,
